"ageOfOnsetMin_ID";"dx_criteria_ID";"ageOfOnsetMin"
"7";"348";"0"
"7";"349";"0"
"7";"350";"0"
"7";"351";"0"
"7";"356";"0"
"7";"360";"0"
"7";"361";"0"
"7";"362";"0"
"7";"365";"0"
"7";"367";"0"
"7";"368";"0"
"7";"375";"0"
"7";"376";"0"
"7";"377";"0"
"7";"379";"0"
"7";"383";"0"
"7";"710";"0"
"7";"711";"0"
"7";"712";"0"
"7";"713";"0"
"7";"1502";"0"
"7";"1503";"0"
"7";"1508";"0"
"7";"1510";"0"
"7";"1514";"0"
"7";"1515";"0"
"7";"1550";"0"
"7";"1580";"0"
"8";"1226";"4"
"9";"700";"5"
"9";"707";"5"
"9";"708";"5"
"9";"709";"5"
"9";"1220";"5"
"10";"347";"6"
"10";"2313";"6"
"10";"1893";"6"
"10";"1969";"6"
"11";"2318";"10"
"13";"1075";"16"
"14";"146";"18"
"14";"1072";"18"
