"evidence_ID";"dx_criteria_ID";"evidence"
158;160;"Depersonalization: Experiences of unreality, detachment, or being an outside observer with respect to ones thoughts, feelings, sensations, body, or actions (e.g., perceptual alterations, distorted sense of time, unreal or absent self, emotional and/or physical numbing)."
161;160;"Derealization: Experiences of unreality or detachment with respect to surroundings (e.g., individuals or objects are experienced as unreal, dreamlike, foggy, lifeless, or visually distorted)."
178;177;"Excessive time and energy devoted to these symptoms or health concerns."
179;177;"Persistently high level of anxiety about health or symptoms."
181;177;"Disproportionate and persistent thoughts about the seriousness of ones symptoms."
357;356;"Reduced vocabulary (word knowledge and use)."
358;356;"Limited sentence structure (ability to put words and word endings together to form sentences based on the rules of grammar and morphology)."
359;356;"Impairments in discourse (ability to use vocabulary and connect sentences to explain or describe a topic or series of events or have a conversation)."
366;368;"Circumlocutions (word substitutions to avoid problematic words)."
369;368;"Monosyllabic whole-word repetitions (e.g., I-I-I-I see him)."
370;368;"Words produced with an excess of physical tension."
371;368;"Sound prolongations of consonants as well as vowels."
372;368;"Sound and syllable repetitions."
373;368;"Broken words (e.g., pauses within a word)."
374;368;"Audible or silent blocking (filled or unfilled pauses in speech)."
378;379;"Difficulties following rules for conversation and storytelling, such as taking turns in conversation, rephrasing when misunderstood, and knowing how to use verbal and nonverbal signals to regulate interaction."
380;379;"Impairment of the ability to change communication to match context or the needs of the listener, such as speaking differently in a classroom than on a playground, talking differently to a child than to an adult, and avoiding use of overly formal language."
381;379;"Deficits in using communication for social purposes, such as greeting and sharing information, in a manner that is appropriate for the social context."
382;379;"Difficulties understanding what is not explicitly stated (e.g., making inferences) and nonliteral or ambiguous meanings of language (e.g., idioms, humor, metaphors, multiple meanings that depend on the context for interpretation)."
496;495;"Continued stimulant use despite having persistent or recurrent social or interpersonal problems caused or exacerbated by the effects of the stimulant."
496;2281;"Continued stimulant use despite having persistent or recurrent social or interpersonal problems caused or exacerbated by the effects of the stimulant."
499;495;"Important social, occupational, or recreational activities are given up or reduced because of stimulant use."
499;2281;"Important social, occupational, or recreational activities are given up or reduced because of stimulant use."
543;541;"Depressed mood most of the day, nearly every day, as indicated by either subjective report (e.g., feels sad, empty, hopeless) or observation made by others (e.g., appears tearful). (Note: In children and adolescents, can be irritable mood.)"
543;542;"Depressed mood most of the day, nearly every day, as indicated by either subjective report (e.g., feels sad, empty, hopeless) or observation made by others (e.g., appears tearful). (Note: In children and adolescents, can be irritable mood.)"
544;541;"Markedly diminished interest or pleasure in all, or almost all, activities most of the day, nearly every day (as indicated by either subjective account or observation)."
544;542;"Markedly diminished interest or pleasure in all, or almost all, activities most of the day, nearly every day (as indicated by either subjective account or observation)."
545;541;"Significant weight loss when not dieting or weight gain (e.g., a change of more than 5% of body weight in a month), or decrease or increase in appetite nearly every day. (Note: In children, consider failure to make expected weight gain.)"
546;541;"Insomnia or hypersomnia nearly every day."
547;541;"Psychomotor agitation or retardation nearly every day (observable by others, not merely subjective feelings of restlessness or being slowed down)."
548;541;"Fatigue or loss of energy nearly every day."
549;541;"Feelings of worthlessness or excessive or inappropriate guilt (which may be delusional) nearly every day (not merely self-reproach or guilt about being sick)."
550;541;"Diminished ability to think or concentrate, or indecisiveness, nearly every day (either by subjective account or as observed by others)."
551;541;"Recurrent thoughts of death (not just fear of dying), recurrent suicidal ideation without a specific plan, or a suicide attempt or a specific plan for committing suicide."
593;592;"Panic attacks or anxiety developed during or soon after substance intoxication or withdrawal or after exposure to a medication."
593;592;"Panic attacks or anxiety developed during or soon after substance intoxication or withdrawal or after exposure to a medication."
594;592;"The involved substance/medication is capable of producing panic attacks or anxiety."
594;1238;"The involved substance/medication is capable of producing panic attacks or anxiety."
594;592;"The involved substance/medication is capable of producing panic attacks or anxiety."
596;595;"The symptoms precede the onset of the substance/medication use; the symptoms persist for a substantial period of time (e.g., about 1 month) after the cessation of acute withdrawal or severe intoxication; or there is other evidence suggesting the existence of an independent non-substance/medication-induced anxiety disorder (e.g., a history of recurrent non-substance/medication-related episodes)."
695;495;"Recurrent stimulant use resulting in a failure to fulfill major role obligations at work, school, or home."
695;2281;"Recurrent stimulant use resulting in a failure to fulfill major role obligations at work, school, or home."
696;495;"The stimulant is often taken in larger amounts or over a longer period than was intended."
696;2281;"The stimulant is often taken in larger amounts or over a longer period than was intended."
697;495;"A great deal of time is spent in activities necessary to obtain the stimulant, use the stimulant, or recover from its effects."
697;2281;"A great deal of time is spent in activities necessary to obtain the stimulant, use the stimulant, or recover from its effects."
698;495;"Recurrent stimulant use in situations in which it is physically hazardous."
698;2281;"Recurrent stimulant use in situations in which it is physically hazardous."
699;495;"Craving, or a strong desire or urge to use the stimulant."
699;2281;"Craving, or a strong desire or urge to use the stimulant."
701;707;"Difficulties mastering number sense, number facts, or calculation (e.g., has poor understanding of numbers, their magnitude, and relationships; counts on fingers to add single-digit numbers instead of recalling the math fact as peers do; gets lost in the midst of arithmetic computation and may switch procedures)."
702;707;"Difficulties with mathematical reasoning (e.g., has severe difficulty applying mathematical concepts, facts, or procedures to solve quantitative problems)."
703;707;"Inaccurate or slow and effortful word reading (e.g., reads single words aloud incorrectly or slowly and hesitantly, frequently guesses words, has difficulty sounding out words)."
704;707;"Difficulty understanding the meaning of what is read (e.g., may read text accurately but not understand the sequence, relationships, inferences, or deeper meanings of what is read)."
705;707;"Difficulties with spelling (e.g., may add, omit, or substitute vowels or consonants)."
706;707;"Difficulties with written expression (e.g., makes multiple grammatical or punctuation errors within sentences; employs poor paragraph organization; written expression of ideas lacks clarity)."
