"Index";"Information"
"1";"5"
"2";"10"
"3";"12"
"4";"13"
"5";"15"
"6";"18"
"7";"0"
"8";"4"
"9";"5"
"10";"6"
"11";"10"
"12";"11"
"13";"16"
"14";"18"
"15";"> 1 && < 30"
"16";"13/24"
"17";"14"
"18";">28"
"19";"< 30"
"20";"> 30"
"21";">= 30 && < 180"
"22";"90"
"23";">180"
"24";">=180"
"25";"<1/24 "
"26";"<365"
"27";">=365"
"28";">=730"
"29";">14"
"30";">=14"
"31";">30"
"32";">=30"
"33";">90"
"34";">=90"
"35";">180"
"36";">=180"
"37";">365"
"38";">=365"
"39";">=730"
"40";">730"
"41";"<180"
"42";"<=180"
"43";"<=180"
"44";"<=365"
"45";"3 per week"
"46";"> 3 per week"
"47";"> 2 per month"
"48";"> 3 times per week for past 90 days"
"49";"2 per week for 90 days"
"50";">= 0"
"51";">= 1"
"52";">= 2"
"53";"2<= && <=3"
"54";">=3"
"55";">= 4"
"56";">= 5"
"57";">= 6"
"58";"has not been without symptoms for more than 2 months at a time"
"59";"<=1/1440"
"60";"<=1/12"
"61";"<=1/24"
"62";"<=1"
"63";"<7"
"64";"<=7"
"65";"<=180"
"66";"<=365"
"67";"1"
"68";"2"
"69";"3"
"70";"4"
"71";"5"
"72";"6"
"73";"7"
"74";"8"
"75";"9"
"76";"10"
"77";"11"
"78";"12"
"79";"13"
"80";"14"
"81";"15"
"82";"16"
"83";"17"
"84";"18"
"85";"19"
"86";"20"
"87";"adl"
"88";"attachment"
"89";"attention"
"90";"avoidance"
"91";"behavior"
"92";"cogdev"
"93";"communication"
"94";"concentration"
"95";"delusion"
"96";"detachment"
"97";"duration"
"98";"eating"
"99";"feeling"
"100";"hallucination"
"101";"iho"
"102";"impulse"
"103";"motor"
"104";"onset"
"105";"orientation"
"106";"rigidity"
"107";"risk"
"108";"self-concept"
"109";"self-harm"
"110";"sensory"
"111";"sleep"
"112";"sexual"
"113";"somatic"
"114";"substance"
"115";"thought"
"116";"F44.81"
"117";"Dissociative Identity Disorder"
"122";"Recurrent gaps in the recall of everyday events, important personal information, and/or traumatic events that are inconsistent with ordinary forgetting."
"123";"The symptoms are not attributable to the physiological effects of a substance (e.g., blackouts or chaotic behavior during alcohol intoxication) or another medical condition (e.g., complex partial seizures)."
"124";"The disturbance is not a normal part of a broadly accepted cultural or religious practice."
"125";"The symptoms cause clinically significant distress or impairment in social, occupational, or other important areas of functioning."
"127";"F44.89"
"131";"F44.9"
"132";"Disruption of identity characterized by two or more distinct personality states, which may be described in some cultures as an experience of possession. The disruption in identity involves marked discontinuity in sense of self and sense of agency, accompanied by related alterations in affect, behavior, consciousness, memory, perception, cognition, and/or sensory-motor functioning. These signs and symptoms may be observed by others or reported by the individual."
"133";"Identity disturbance due to prolonged and intense coercive persuasion: Individuals who have been subjected to intense coercive persuasion (e.g., brainwashing, thought reform, indoctrination while captive, torture, long-term political imprisonment, recruitment by sects/cults or by terror organizations) may present with prolonged changes in, or conscious questioning of, their identity."
"134";"Acute dissociative reactions to stressful events: This category is for acute, transient conditions that typically last less than 1 month, and sometimes only a few hours or days. These conditions are characterized by constriction of consciousness; depersonalization; derealization; perceptual disturbances (e.g., time slowing, macropsia); micro-amnesias; transient stupor; and/or alterations in sensory-motor functioning (e.g., analgesia, paralysis)."
