"question_ID";"Description";"SymptomOrEvidence";"SE_ID"
"q_1";"Does the client use any mind-altering substances such as Cannabis, Hallucinogen, and Phencyclidine?";"E";2361
"q_1";"Does the client use any mind-altering substances such as Cannabis, Hallucinogen, and Phencyclidine?";"E";2421
"q_1";"Does the client use any mind-altering substances such as Cannabis, Hallucinogen, and Phencyclidine?";"E";2422
"q_1";"Does the client use any mind-altering substances such as Cannabis, Hallucinogen, and Phencyclidine?";"E";2518
"q_1";"Does the client use any mind-altering substances such as Cannabis, Hallucinogen, and Phencyclidine?";"E";2571
"q_1";"Does the client use any mind-altering substances such as Cannabis, Hallucinogen, and Phencyclidine?";"E";2501
"q_1";"Does the client use any mind-altering substances such as Cannabis, Hallucinogen, and Phencyclidine?";"E";2516
"q_1";"Does the client use any mind-altering substances such as Cannabis, Hallucinogen, and Phencyclidine?";"E";2555
"q_1";"Does the client use any mind-altering substances such as Cannabis, Hallucinogen, and Phencyclidine?";"E";2570
"q_1";"Does the client use any mind-altering substances such as Cannabis, Hallucinogen, and Phencyclidine?";"E";2522
"q_1";"Does the client use any mind-altering substances such as Cannabis, Hallucinogen, and Phencyclidine?";"E";2451
"q_1";"Does the client use any mind-altering substances such as Cannabis, Hallucinogen, and Phencyclidine?";"E";2515
"q_1";"Does the client use any mind-altering substances such as Cannabis, Hallucinogen, and Phencyclidine?";"E";2553
"q_1";"Does the client use any mind-altering substances such as Cannabis, Hallucinogen, and Phencyclidine?";"E";2572
"q_2";"Does the client encounter any difficulties with personal care, such as eating, dressing, elimination, and hygiene?";"S";218
"q_2";"Does the client encounter any difficulties with personal care, such as eating, dressing, elimination, and hygiene?";"S";307
"q_2";"Does the client encounter any difficulties with personal care, such as eating, dressing, elimination, and hygiene?";"S";321
"q_2";"Does the client encounter any difficulties with personal care, such as eating, dressing, elimination, and hygiene?";"S";314
"q_2";"Does the client encounter any difficulties with personal care, such as eating, dressing, elimination, and hygiene?";"S";339
"q_2";"Does the client encounter any difficulties with personal care, such as eating, dressing, elimination, and hygiene?";"S";319
"q_2";"Does the client encounter any difficulties with personal care, such as eating, dressing, elimination, and hygiene?";"E";1051
