"symptom_ID";"symptom";"code_ID";"category"
122;"Recurrent gaps in the recall of everyday events, important personal information, and/or traumatic events that are inconsistent with ordinary forgetting.";116;"cogdev"
122;"Recurrent gaps in the recall of everyday events, important personal information, and/or traumatic events that are inconsistent with ordinary forgetting.";116;"thought"
124;"The disturbance is not a normal part of a broadly accepted cultural or religious practice.";116;"NULL"
125;"The symptoms cause clinically significant distress or impairment in social, occupational, or other important areas of functioning.";539;"attachment"
125;"The symptoms cause clinically significant distress or impairment in social, occupational, or other important areas of functioning.";562;"attachment"
125;"The symptoms cause clinically significant distress or impairment in social, occupational, or other important areas of functioning.";564;"attachment"
125;"The symptoms cause clinically significant distress or impairment in social, occupational, or other important areas of functioning.";566;"attachment"
125;"The symptoms cause clinically significant distress or impairment in social, occupational, or other important areas of functioning.";569;"attachment"
125;"The symptoms cause clinically significant distress or impairment in social, occupational, or other important areas of functioning.";571;"attachment"
125;"The symptoms cause clinically significant distress or impairment in social, occupational, or other important areas of functioning.";573;"attachment"
125;"The symptoms cause clinically significant distress or impairment in social, occupational, or other important areas of functioning.";575;"attachment"
125;"The symptoms cause clinically significant distress or impairment in social, occupational, or other important areas of functioning.";577;"attachment"
125;"The symptoms cause clinically significant distress or impairment in social, occupational, or other important areas of functioning.";579;"attachment"
125;"The symptoms cause clinically significant distress or impairment in social, occupational, or other important areas of functioning.";1692;"attachment"
125;"The symptoms cause clinically significant distress or impairment in social, occupational, or other important areas of functioning.";1730;"attachment"
125;"The symptoms cause clinically significant distress or impairment in social, occupational, or other important areas of functioning.";116;"attachment"
125;"The symptoms cause clinically significant distress or impairment in social, occupational, or other important areas of functioning.";148;"attachment"
125;"The symptoms cause clinically significant distress or impairment in social, occupational, or other important areas of functioning.";1948;"attachment"
125;"The symptoms cause clinically significant distress or impairment in social, occupational, or other important areas of functioning.";1996;"attachment"
132;"Disruption of identity characterized by two or more distinct personality states, which may be described in some cultures as an experience of possession. The disruption in identity involves marked discontinuity in sense of self and sense of agency, accompanied by related alterations in affect, behavior, consciousness, memory, perception, cognition, and/or sensory-motor functioning. These signs and symptoms may be observed by others or reported by the individual.";116;"self-concept"
133;"Identity disturbance due to prolonged and intense coercive persuasion: Individuals who have been subjected to intense coercive persuasion (e.g., brainwashing, thought reform, indoctrination while captive, torture, long-term political imprisonment, recruitment by sects/cults or by terror organizations) may present with prolonged changes in, or conscious questioning of, their identity.";127;"self-concept"
134;"Acute dissociative reactions to stressful events: This category is for acute, transient conditions that typically last less than 1 month, and sometimes only a few hours or days. These conditions are characterized by constriction of consciousness; depersonalization; derealization; perceptual disturbances (e.g., time slowing, macropsia); micro-amnesias; transient stupor; and/or alterations in sensory-motor functioning (e.g., analgesia, paralysis).";127;"detachment"
135;"Dissociative trance: This condition is characterized by an acute narrowing or complete loss of awareness of immediate surroundings that manifests as profound unresponsiveness or insensitivity to environmental stimuli. The unresponsiveness may be accompanied by minor stereotyped behaviors (e.g., finger movements) of which the individual is unaware and/or that he or she cannot control, as well as transient paralysis or loss of consciousness. The dissociative trance is not a normal part of a broadly accepted collective cultural or religious practice.";127;"detachment"
136;"Chronic and recurrent syndromes of mixed dissociative symptoms: This category includes identity disturbance associated with less-than-marked discontinuities in sense of self and agency, or alterations of identity or episodes of possession in an individual who reports no dissociative amnesia.";127;"detachment"
137;"This category applies to presentations in which symptoms characteristic of a dissociative disorder that cause clinically significant distress or impairment in social, occupational, or other important areas of functioning predominate but do not meet the full criteria for any of the disorders in the dissociative disorders diagnostic class. The unspecified dissociative disorder category is used in situations in which the clinician chooses not to specify the reason that the criteria are not met for a specific dissociative disorder, and includes presentations for which there is insufficient information to make a more specific code (e.g., in emergency room settings).";131;"NULL"
159;"During the depersonalization or derealization experiences, reality testing remains intact.";148;"detachment"
160;"The presence of persistent or recurrent experiences of depersonalization, derealization, or both:";148;"NULL"
168;"One or more symptoms of altered voluntary motor or sensory function.";164;"motor"
168;"One or more symptoms of altered voluntary motor or sensory function.";164;"sensory"
168;"One or more symptoms of altered voluntary motor or sensory function.";165;"motor"
168;"One or more symptoms of altered voluntary motor or sensory function.";165;"sensory"
